"Title","Year","main_genre","Subgenre 1","Subgenre 2","main_origin","Director","IMDB.rating","Rating.count","rating","writer","star","budget","gross","company","runtime"
"Gladiator",2000,"Drama","Adventure","Action","USA","Ridley Scott",8.5,1174412,"R","David Franzoni","Russell Crowe",1.03e+08,465380802,"Dreamworks Pictures",155
"The Prestige",2006,"Drama","Thriller","Mystery","USA","Christopher Nolan",8.5,1032561,"PG-13","Jonathan Nolan","Christian Bale",4e+07,109676311,"Touchstone Pictures",130
"Memento",2000,"Thriller","Mystery",NA,"USA","Christopher Nolan",8.5,1005884,"R","Christopher Nolan","Guy Pearce",9e+06,40047078,"Newmarket Capital Group",113
"Avengers: Infinity War",2018,"Adventure","Fantasy","Action","USA","Anthony Russo",8.5,547495,"PG-13","Christopher Markus","Robert Downey Jr.",3.21e+08,2048359754,"Marvel Studios",149
"The Shining",1980,"Drama","Horror",NA,"USA","Stanley Kubrick",8.4,753633,"R","Stephen King","Jack Nicholson",1.9e+07,46998772,"Warner Bros.",146
"Django Unchained",2012,"Drama","Western",NA,"USA","Quentin Tarantino",8.4,1170940,"R","Quentin Tarantino","Jamie Foxx",1e+08,426074373,"The Weinstein Company",165
"WALL·E",2008,"Adventure","Animation","Family","USA","Andrew Stanton",8.4,877732,"G","Andrew Stanton","Ben Burtt",1.8e+08,521311890,"FortyFour Studios",98
"American Beauty",1999,"Drama",NA,NA,"USA","Sam Mendes",8.4,966877,"R","Alan Ball","Kevin Spacey",1.5e+07,356296601,"Dreamworks Pictures",122
"The Dark Knight Rises",2012,"Action","Thriller",NA,"USA","Christopher Nolan",8.4,1349163,"PG-13","Jonathan Nolan","Christian Bale",2.5e+08,1081142612,"Warner Bros.",164
"Aliens",1986,"Adventure","Action","Thriller","USA","James Cameron",8.4,584962,"R","James Cameron","Sigourney Weaver",18500000,131060248,"Twentieth Century Fox",137
"Once Upon a Time in America",1984,"Drama","Crime",NA,"Italy","Sergio Leone",8.4,268592,"R","Harry Grey","Robert De Niro",3e+07,5473212,"The Ladd Company",229
"Coco",2017,"Comedy","Adventure","Animation","USA","Lee Unkrich",8.4,244493,"PG","Lee Unkrich","Anthony Gonzalez",1.75e+08,807817888,"Walt Disney Pictures",105
